Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT,CATEGORY
1196428,01/01/2023,SALARY,,01/01/2023,,250000.00,250000.00,SALARY
1196428,01/01/2023,MAX BUPA HEALTH INSURANCE,704273,01/01/2023,14160.00,,235840.00,INSURANCE
1196428,01/01/2023,EMI Phone(10/12),,01/01/2023,3000.00,,232840.00,EMI
1196428,01/01/2023,EMI Home loan(21/240),,01/01/2023,30000.00,,202840.00,EMI
1196428,01/01/2023,EMI Personal loan(16/36),,01/01/2023,5000.00,,197840.00,EMI
1196428,01/01/2023,EMI Shopping(1/3),,01/01/2023,5000.00,,192840.00,EMI
1196428,02/01/2023,CASHWITH,704308,02/01/2023,25000.00,,167840.00,BANK TRANSFERS
1196428,02/01/2023,SWIGGY,,02/01/2023,679.00,,167161.00,FOOD
1196428,02/01/2023,POS INSTAMART,,02/01/2023,984.00,,166177.00,UTILITIES
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,463.00,,165714.00,TRANSPORT
1196428,03/01/2023,SWIGGY,,03/01/2023,960.21,,164753.79,FOOD
1196428,03/01/2023,POS INSTAMART,,03/01/2023,1510.23,,163243.56,UTILITIES
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,181.12,,163062.44,TRANSPORT
1196428,03/01/2023,SHOPPING,,03/01/2023,425.39,,162637.05,SHOPPING
1196428,03/01/2023,SWIGGY,,03/01/2023,484.99,,162152.06,FOOD
1196428,04/01/2023,POS INSTAMART,,04/01/2023,22.00,,162130.06,UTILITIES
1196428,04/01/2023,POS CAB SERVICES,,04/01/2023,593.99,,161536.07,TRANSPORT
1196428,04/01/2023,SHOPPING,,04/01/2023,1755.99,,159780.08,SHOPPING
1196428,04/01/2023,SWIGGY,,04/01/2023,983.00,,158797.08,FOOD
1196428,07/01/2023,POS INSTAMART,,07/01/2023,978.00,,157819.08,UTILITIES
1196428,07/01/2023,POS CAB SERVICES,,07/01/2023,1100.00,,156719.08,TRANSPORT
1196428,07/01/2023,SWIGGY,,07/01/2023,14.00,,156705.08,FOOD
1196428,08/01/2023,POS INSTAMART,,08/01/2023,79.00,,156626.08,UTILITIES
1196428,08/01/2023,POS CAB SERVICES,,08/01/2023,38.84,,156587.24,TRANSPORT
1196428,08/01/2023,SHOPPING,,08/01/2023,1219.15,,155368.09,SHOPPING
1196428,08/01/2023,SWIGGY,,08/01/2023,91.45,,155276.64,FOOD
1196428,09/01/2023,POS INSTAMART,,09/01/2023,528.27,,154748.37,UTILITIES
1196428,09/01/2023,POS CAB SERVICES,704310,09/01/2023,594.00,,154154.37,TRANSPORT
1196428,10/01/2023,SHOPPING,,10/01/2023,1638.00,,152516.37,SHOPPING
1196428,10/01/2023,TATA AIG GENERAL INSURANCE,704307,10/01/2023,2405.23,,150111.14,INSURANCE
1196428,10/01/2023,POS DINEOUT,,10/01/2023,105.65,,150005.49,FOOD
1196428,10/01/2023,SWIGGY,,10/01/2023,22.87,,149982.62,FOOD
1196428,11/01/2023,POS INSTAMART,,11/01/2023,184.78,,149797.84,UTILITIES
1196428,11/01/2023,POS INSTAMART,,11/01/2023,816.80,,148981.04,UTILITIES
1196428,11/01/2023,POS CAB SERVICES,,11/01/2023,6.00,,148975.04,TRANSPORT
1196428,11/01/2023,SWIGGY,,11/01/2023,611.57,,148363.47,FOOD
1196428,14/01/2023,POS INSTAMART,,14/01/2023,287.55,,148075.92,UTILITIES
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,479.85,,147596.07,TRANSPORT
1196428,15/01/2023,SHOPPING,,15/01/2023,708.00,,146888.07,SHOPPING
1196428,15/01/2023,POS INSTAMART,,15/01/2023,453.85,,146434.22,UTILITIES
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,451.51,,145982.71,TRANSPORT
1196428,15/01/2023,SWIGGY,,15/01/2023,537.00,,145445.71,FOOD
1196428,15/01/2023,POS INSTAMART,704309,15/01/2023,659.92,,144785.79,UTILITIES
