Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
1196428,01/01/2023,SALARY,,01/01/2023,,100000.00,100000.00
1196428,01/01/2023,MAX BUPA HEALTH INSURANCE,704273,01/01/2023,6160.00,,93840.00
1196428,01/01/2023,EMI Phone(3/6),,01/01/2023,3000.00,,90840.00
1196428,01/01/2023,RENT INCOME,,01/01/2023,,30000.00,120840.00
1196428,01/01/2023,EMI Personal loan(3/24),,01/01/2023,5000.00,,115840.00
1196428,01/01/2023,EMI Shopping(2/3),,01/01/2023,5000.00,,110840.00
1196428,02/01/2023,CASHWITH,704308,02/01/2023,5000.00,,105840.00
1196428,02/01/2023,SWIGGY,,02/01/2023,679.00,,105161.00
1196428,02/01/2023,POS INSTAMART,,02/01/2023,984.00,,104177.00
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,463.00,,103714.00
1196428,03/01/2023,SWIGGY,,03/01/2023,960.21,,102753.79
1196428,03/01/2023,POS INSTAMART,,03/01/2023,1510.23,,101243.56
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,181.12,,101062.44
1196428,03/01/2023,SHOPPING,,03/01/2023,425.39,,100637.05
1196428,03/01/2023,SWIGGY,,03/01/2023,484.99,,100152.06
1196428,04/01/2023,POS INSTAMART,,04/01/2023,22.00,,100130.06
1196428,04/01/2023,POS CAB SERVICES,,04/01/2023,593.99,,99536.07
1196428,04/01/2023,SHOPPING,,04/01/2023,1755.99,,97780.08
1196428,04/01/2023,SWIGGY,,04/01/2023,983.00,,96797.08
1196428,07/01/2023,POS INSTAMART,,07/01/2023,978.00,,95819.08
1196428,07/01/2023,POS CAB SERVICES,,07/01/2023,1100.00,,94719.08
1196428,07/01/2023,SWIGGY,,07/01/2023,14.00,,94705.08
1196428,08/01/2023,POS INSTAMART,,08/01/2023,79.00,,94626.08
1196428,08/01/2023,POS CAB SERVICES,,08/01/2023,38.84,,94587.24
1196428,08/01/2023,SHOPPING,,08/01/2023,1219.15,,93368.09
1196428,09/01/2023,POS INSTAMART,,09/01/2023,528.27,,92839.82
1196428,09/01/2023,POS CAB SERVICES,704310,09/01/2023,594.00,,92245.82
1196428,10/01/2023,SHOPPING,,10/01/2023,1638.00,,90607.82
1196428,10/01/2023,TATA AIG GENERAL INSURANCE,704307,10/01/2023,1405.23,,89202.59
1196428,10/01/2023,POS DINEOUT,,10/01/2023,105.65,,89096.94
1196428,11/01/2023,POS INSTAMART,,11/01/2023,184.78,,88912.16
1196428,11/01/2023,POS INSTAMART,,11/01/2023,816.80,,88095.36
1196428,11/01/2023,POS CAB SERVICES,,11/01/2023,6.00,,88089.36
1196428,14/01/2023,POS INSTAMART,,14/01/2023,287.55,,87801.81
